rank,R1_ohm,R2_ohm,R3_ohm,R4_ohm,Rg_ohm,Rf_ohm,Rsense_ohm,Vref_V,gain,Vout_0A_V,Vout_full_V,nominal_max_error_mV,Vout_0A_min_V,Vout_0A_max_V,Vout_full_min_V,Vout_full_max_V,worst_case_error_mV,resistor_tolerance,sense_tolerance
1,1100,56000,1500,75000,1200,10000,0.1,0.3660245183887916,9.333333333333334,0.06698487918226252,3.26959925826723,183.01512081773745,0.05035697597156451,0.08915470737677252,2.839310313610921,3.76036994939531,460.6896863890788,0.05,0.05
2,1100,56000,1300,62000,1200,10000,0.1,0.3660245183887916,9.333333333333334,0.07015951800606642,3.269738243651143,179.8404819939336,0.05274823962288626,0.09337093430822196,2.8393039704121232,3.7607483507190747,460.74835071907484,0.05,0.05
3,1300,82000,1500,75000,4300,36000,0.1,0.2965186074429772,9.372093023255815,0.05449019553101679,3.270404468216836,195.5098044689832,0.04094771186638945,0.0725556625225488,2.8392690193060304,3.7607665780178436,460.7665780178438,0.05,0.05
4,1000,51000,1500,75000,1200,10000,0.1,0.36538461538461536,9.333333333333334,0.06686777275012569,3.2694821518350934,183.13222724987432,0.050268777765108894,0.08899915738226759,2.839202992805635,3.7602143994008053,460.797007194365,0.05,0.05
5,1000,51000,1300,62000,1200,10000,0.1,0.36538461538461536,9.333333333333334,0.07003686150605581,3.2696155871511325,179.9631384939442,0.052655853214872865,0.09320802817857493,2.839191574284593,3.7605854445894273,460.80842571540705,0.05,0.05
6,1000,51000,1000,47000,1200,10000,0.1,0.36538461538461536,9.333333333333334,0.07104700854700854,3.26965811965812,178.95299145299145,0.05341682249592585,0.09454943306146807,2.839187935099494,3.760703700019894,460.8120649005056,0.05,0.05
7,1000,51000,1600,75000,1200,10000,0.1,0.36538461538461536,9.333333333333334,0.07123250987480753,3.2696659302403432,178.76749012519247,0.05355657000712735,0.0947957568278424,2.839187266831627,3.7607254154045604,460.8127331683729,0.05,0.05
8,1000,51000,1200,56000,1200,10000,0.1,0.36538461538461536,9.333333333333334,0.07154384077461001,3.2696790389098087,178.45615922539,0.053791114545446855,0.09520916101892966,2.839186145280341,3.7607618602477215,460.813854719659,0.05,0.05
9,1000,51000,1100,51000,1200,10000,0.1,0.36538461538461536,9.333333333333334,0.07200157488065358,3.2696983119247993,177.99842511934645,0.05413596096161878,0.09581695393609516,2.839184496359158,3.7608154419917352,460.81550364084165,0.05,0.05
10,1100,56000,1000,47000,1200,10000,0.1,0.3660245183887916,9.333333333333334,0.07117143413115391,3.2697825452422653,178.8285658688461,0.05351054404930663,0.09471468365738087,2.8393019487777575,3.7608689506158064,460.86895061580657,0.05,0.05
