rank,R1_ohm,R2_ohm,R3_ohm,R4_ohm,Rg_ohm,Rf_ohm,Rsense_ohm,Vref_V,gain,Vout_0A_V,Vout_full_V,nominal_max_error_mV,Vout_0A_min_V,Vout_0A_max_V,Vout_full_min_V,Vout_full_max_V,worst_case_error_mV,resistor_tolerance,sense_tolerance
1,2400,91000,3000,51000,6200,51000,0.1,0.48822269807280516,9.225806451612904,0.25023600653910805,3.2998775836000402,0.2360065391080468,0.18890692814945179,0.3315392184001941,2.854155727051305,3.8138291658870664,513.8291658870667,0.05,0.05
2,1100,43000,2000,33000,9100,75000,0.1,0.47392290249433106,9.241758241758241,0.25027890800485547,3.300059127785075,0.2789080048554715,0.1889507772912834,0.3315731520488268,2.85467396996728,3.813505715001569,513.5057150015693,0.05,0.05
3,1200,43000,1000,18000,1000,8200,0.1,0.5158371040723982,9.2,0.2497737556561086,3.300300071445582,0.3000714455820841,0.1885373209605013,0.3309678900793082,2.8538975224718364,3.815232352889226,515.2323528892259,0.05,0.05
4,1300,27000,2700,82000,1500,12000,0.1,0.872791519434629,9.0,0.25039945598891955,3.2999862328484237,0.39945598891955036,0.18902138646406233,0.3317878663845878,2.848946385054261,3.8217519463994525,521.7519463994527,0.05,0.05
5,1200,47000,2000,33000,9100,75000,0.1,0.4730290456431535,9.241758241758241,0.2498068617807799,3.2995870815609996,0.4129184390002649,0.18859355386962323,0.33094941292594526,2.8543167465456194,3.8128819758786876,512.8819758786877,0.05,0.05
6,3600,75000,3300,100000,1500,12000,0.1,0.8702290076335878,9.0,0.25020137005534904,3.299572134818176,0.4278651818236945,0.1888706561179223,0.3315276946145322,2.8486246673076385,3.821219463263291,521.2194632632911,0.05,0.05
7,1500,62000,3000,47000,1100,9100,0.1,0.44881889763779526,9.272727272727273,0.24970651395848245,3.3004337866857556,0.43378668575577706,0.18853936087540255,0.3307733517665005,2.8557197858144483,3.8128673038395324,512.8673038395326,0.05,0.05
8,3300,100000,4300,91000,1600,13000,0.1,0.6069699903194579,9.125,0.2499054039366183,3.299551259130742,0.44874086925794643,0.18860508020482344,0.33120766452619854,2.851529284801602,3.816907693383451,516.9076933834514,0.05,0.05
9,2200,91000,3000,47000,1100,9100,0.1,0.44849785407725323,9.272727272727273,0.24952789699570818,3.300255169722981,0.4721030042918184,0.1884041933696541,0.3305373335269195,2.8555846183087,3.8126312855999513,512.6312855999515,0.05,0.05
10,1000,36000,2400,43000,1000,8200,0.1,0.5135135135135135,9.2,0.24974401714489816,3.2995237528277177,0.4762471722821182,0.1885168557884479,0.33092470037627736,2.853283880878054,3.8142518850661546,514.2518850661548,0.05,0.05
